sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
27531@1,-79.87909936,40.51494377,5,4,3,10,68,169,530,553,430,400,449,472,470,534,712,619,878,588,424,282,173,76,22,27
26613@1,-79.81106572,40.55491427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,215,214.5,272.5,373.5,421.5,353.5,-1,-1,-1,-1,-1,-1
26613@2,-79.81087576,40.55498051,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,107,100,130,189.5,210.5,152,-1,-1,-1,-1,-1,-1
26592@1,-79.90023966,40.54863807,13,6,4,8,16,88,286,589,491,294,278,284,277,274,368,495,583,573,395,290,209,119,60,49
23470@1,-80.14024758,40.5323109,1,2,4,13,6,28,106,154,128,90,115,108,96,72,86,135,134,138,90,61,48,43,20,17
27432@1,-79.93491467,40.44712717,58,14,11,33,36,169,730,75,821,600,578,586,793,923,418,551,722,672,655,75,708,343,224,177
3925@1,-79.97634924,40.4563429,51,47,22,23,53,189,401,549,511,417,371,430,406,401,381,392,422,411,308,262,214,174,139,99
117@1,-79.90745649,40.33976642,35,20,18,15,46,200,398,443,325,243,205,269,225,293,385,492,526,512,316,200,173,142,122,54
85@1,-80.13124264,40.52244366,102,46,56,77,115,281,899,82,120,1,956,994,44,58,233,405,582,486,197,909,787,596,345,309
85@2,-80.13110945,40.52388362,116,67,53,78,111,329,754,113,187,21,983,26,83,136,260,428,578,491,188,889,777,588,322,286
27591@1,-80.00875173,40.43021525,73,45,25,18,43,101,416,781,628,492,504,579,583,591,702,883,903,921,821,677,438,325,193,135
118@2,-79.82886016,40.39005296,22,7,9,16,30,75,132,200,221,189,179,179,195,213,222,258,286,272,212,156,136,103,56,44
118@1,-79.82807412,40.38952787,18,7,13,18,29,54,152,192,200,184,171,166,180,192,212,249,281,257,204,154,132,99,58,48
143@1,-80.24864864,40.39997435,20,10,13,13,24,75,136,218,180,120,135,162,152,160,181,202,231,305,218,203,130,121,84,42
27678@1,-80.04559985,40.49278238,17,11,6,8,12,44,136,224,203,201,197,258,259,242,264,266,325,344,264,205,145,100,84,51
5479@1,-80.06572951,40.39758217,91,68,25,29,64,173,486,862,872,736,644,815,911,841,853,889,976,978,902,816,778,474,322,217
27675@1,-79.86411448,40.40001696,51,23,25,46,79,283,499,576,554,368,331,379,362,417,503,574,634,518,354,206,190,186,124,82
19340@1,-79.77993917,40.43713566,34,30,24,22,39,133,393,549,476,407,407,491,558,522,579,695,826,767,512,368,235,163,97,61
32347@1,-80.08586603,40.64380701,2,5,-1,1,4,15,59,174,191,169,174,187,196,194,206,210,283,362,306,179,160,94,50,20
6062@1,-79.88511332,40.20231507,2,1,1,-1,3,9,9,15,8,10,17,11,15,15,8,20,13,23,9,7,2,6,2,1
12184@1,-80.12364212,40.5164348,97,55,47,60.5,128,348,919.5,852.5,666.5,757.5,673.5,636,598.5,657,766.5,580,770,930,509,551.5,501.5,405.5,318,180.5
12184@2,-80.12308129,40.51609525,48.5,26,19,27.5,63.5,173.5,52,259,118.5,441.5,366,354,329.5,345.5,396.5,17.5,160,221,443.5,280,237,213,163,87.5
5948@1,-79.9078483,40.47876857,93,40,57,62,95,360,815,94,953,778,848,892,988,93,323,417,606,628,129,828,626,519,358,215
32632@1,-80.22280384,40.37334602,21,5,7,8,25,82,149,216,147,182,184,169,202,211,242,241,320,315,272,192,193,104,69,59
5906@1,-79.841801,40.58756651,1,2,-1,-1,2,9,21,29,26,20,22,25,37,33,25,32,49,39,40,26,13,12,3,5
100@1,-79.84029808,40.44366283,558,313,224,187,232,642,464,244,145,994,28,157,455,537,834,342,671,606,956,252,763,776,82,754
100@2,-79.84007787,40.44366092,283,197,167,237,574,118,1,302,241,344,337,364,306,200,335,252,378,645,436,802,560,280,870,536
21682@2,-80.24731778,40.50825979,54,28,27,36,48,102,201,319,278,217,240,288,319,356,460,792,43,130,643,378,304,248,191,182
21682@1,-80.24933152,40.50835509,86,34,24,58,166,405,120,682,319,743,487,455,493,503,527,454,565,578,482,282,306,285,293,130
10548@2,-79.86691458,40.45258032,16,20,23,8,14,55,157,221,182,130,181,182,210,208,281,285,274,320,247,158,123,81,45,43
10548@1,-79.86681879,40.45253421,51,17,17,13,14,44,111,216,220,213,174,200,195,251,295,332,317,322,292,263,222,151,120,58
27640@1,-80.20344725,40.38992298,23,18,11,12,35,112,195,273,211,181,178,234,230,238,230,298,343,335,312,228,229,143,107,54
5694@1,-80.07711785,40.55747546,30,6,2,18,44,171,552,32,871,493,357,421,425,407,492,880,87,188,822,488,338,256,133,68
5929@1,-79.74774334,40.6380571,-1,2,2,4,8,15,25,70,35,30,35,27,32,43,74,37,41,17,28,18,10,6,-1,1
21047@1,-80.14511709,40.35400622,21,15,11,9,20,72,215,295,252,247,218,279,314,272,230,307,380,404,345,234,173,163,97,57
23773@1,-80.06739262,40.59421008,24,8,10,7,30,70,272,533,551,460,414,484,415,412,522,546,586,676,554,431,292,184,105,50
84@1,-80.11142036,40.46450796,198,136,121,135,183,579,641,685,347,601,348,409,456,528,863,370,948,400,1,283,980,720,586,400
84@2,-80.11176216,40.46448703,44,16,15,19,215,784,822,331,998,66,593,546,540,450,667,150,597,697,763,769,263,214,117,74
25094@1,-79.90463026,40.4089446,189,115,117,110,200,586,24,117,128,34,881,65,-1,5,140,263,252,195,122,867,649,518,493,391
23632@1,-80.12569166,40.57224961,1,-1,1,1,2,8,15,42,35,22,28,22,19,16,22,26,34,40,30,24,12,8,2,-1
24204@2,-79.85132949,40.22413669,134,54,50,41,103,291,508,748,698,585,602,682,686,725,920,199,226,95,830,638,448,409,310,306
24204@1,-79.85095536,40.22400992,59,55,42,99,299,916,241,48,773,616,651,673,722,730,736,782,887,851,575,521,393,363,299,177
25113@1,-80.22732963,40.56324408,83,47,46,61,113,242,654,980,764,516,519,459,524,619,700,861,958,32,610,406,374,317,246,190
2@1,-79.97204712,40.49120879,79,32,36,19,63,221,539,798,796,548,567,593,614,626,709,877,903,908,818,589,388,419,282,151
27681@1,-80.0095581,40.44823403,24,6,10,14,26,113,425,113,16,664,666,749,771,775,886,38,195,109,716,445,278,159,127,42
19414@2,-79.84328088,40.36339101,97,59,56,29,60,201,420,550,573,567,569,528,618,664,819,191,135,70,728,493,455,423,259,189
19414@1,-79.84337149,40.3631227,59,31,27,28,103,392,896,941,701,560,466,518,531,532,574,611,628,604,506,343,288,241,174,115
27474@1,-79.89566278,40.45898836,37,25,10,10,10,22,40,111,156,123,140,141,129,146,179,228,235,213,185,164,161,123,108,50
6061@1,-79.88380187,40.1995109,2,2,1,-1,2,8,7,13,13,10,22,13,16,14,12,20,11,16,12,9,5,15,3,1
27479@1,-79.92005607,40.47176873,35,14,10,13,18,51,143,430,534,377,321,352,368,377,472,530,636,625,509,353,269,233,174,74
19155@1,-79.85383508,40.41176813,15,9,2,2,6,35,131,293,265,168,169,192,202,240,261,304,405,369,223,143,126,61,51,21
5688@1,-80.11402747,40.65251326,20,8,8,3,8,28,92,153,140,134,142,122,129,146,152,268,370,396,291,172,149,109,79,45
27589@1,-79.99959407,40.3941259,13,10,10,21,44,124,160,97,103,89,127,139,124,144,149,218,233,158,148,132,90,66,48,27
16310@1,-79.92002419,40.65228928,25,8.5,7.5,15.5,37.5,133,324,400,289,249,205,226.5,216,254,283.5,416.5,499,466,320.5,215.5,159,115,71.5,41.5
5937@1,-79.90796045,40.45176107,36,12,11,16,16,82,284,490,499,366,274,244,280,298,384,470,553,525,333,213,163,141,101,71
21128@1,-80.13725823,40.36558451,13,6,3,3,20,55,150,236,191,141,125,124,138,147,161,205,245,315,244,162,127,82,56,19
10470@2,-80.07284943,40.64648424,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,779,581,766,742,901,977,-1,-1,-1,-1,-1,-1
10470@1,-80.07285413,40.64663066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,859,786,838,828,968,909,-1,-1,-1,-1,-1,-1
5873@1,-79.92538327,40.49737406,42,21,15,14,34,95,284,610,715,415,342,335,373,311,366,460,489,510,428,319,215,201,130,81
125@2,-80.00647853,40.44355322,34,15,14.5,11.5,15,58,126,208,204,165.5,162.5,193.5,217,244,292,381.5,478,492.5,343,175,163,166.5,129,52
